Delitos;Enero-marzo 2019;Enero-marzo 2020;Variación % 2020/2019;Comunidad Autonoma
    2.-Homicidios dolosos y asesinatos en grado tentativa;1;0;-100;EN EL EXTRANJERO
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2;0;-100;EN EL EXTRANJERO
    4.-Secuestro;0;0;0;EN EL EXTRANJERO
    5.-Delitos contra la libertad e indemnidad sexual;19;7;-63,2;EN EL EXTRANJERO
    5.1.-Agresión sexual con penetración;2;1;-50;EN EL EXTRANJERO
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;17;6;-64,7;EN EL EXTRANJERO
    6.-Robos con violencia e intimidación;67;42;-37,3;EN EL EXTRANJERO
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;6;8;33,3;EN EL EXTRANJERO
    7.1.-Robos con fuerza en domicilios;4;6;50;EN EL EXTRANJERO
    8.-Hurtos;685;573;-16,4;EN EL EXTRANJERO
    9.-Sustracciones de vehículos;19;23;21,1;EN EL EXTRANJERO
    10.-Tráfico de drogas;1;3;200;EN EL EXTRANJERO
    Resto de infracciones penales;2793;2657;-4,9;EN EL EXTRANJERO
    TOTAL INFRACCIONES PENALES;3594;3313;-7,8;EN EL EXTRANJERO
